website,country,email,description,name
www.azic.com/minexpo,United States,sales@azic.com,"
			Jerome®, by Arizona Instrument LLC, offers rugged and reliable mercury vapor analyzers capable of detecting as little as 0.05µg/m3 of mercury in air, making it easy to comply with MSHA regulations and ensure your coworkers are safe.		",Arizona Instrument LLC
www.argonics.com,United States,None,None,Argonics Inc
www.articcatering.com,United States,terry.mcintosh@arcticcatering.com,"
			Arctic Catering Inc. has been active in the remote camp and catering business since 1974. We provide quality services at competitive rates to a broad spectrum of industries. Our HSE and employee training programs are second to none in our industry.		",Arctic Catering & Support Services
www.atarfil.com,Spain,None,None,ATARFIL
www.astralloy.com,United States,None,None,Astralloy Steel Products Corp.
www.awmi.org,United States,awmi@talley.com,"
			AWMI is an organization of professionals, founded in 1981 to promote and develop the growth of women in the metal industries. Membership is open to both men and women seeking professional development. AWMI has 21 chapters across the U.S. and Canada.		",Association of Women in the Metal Industries
www.stategeologists.org,United States,None,None,Association of American State Geologists
www.assaabloyentrance.com,United States,info.na.aaes@assaabloy.com,"
			ASSA ABLOY Entrance Systems offers durable mine door solutions to meet the tough conditions of the mining industry. Our Megadoor and Albany mine door systems provide exceptional performance for mining and heavy industry environments.		",ASSA ABLOY
www.aspermontmedia.com,United Kingdom,None,None,Aspermont Media
www.aspentrailer.com,Canada,None,None,Aspen Custom Trailers
www.asgco.com,United States,info@asgco.com,"
			At ASGCO “Complete Conveyor Solutions” we use engineered products and services to provide our customers with the best solutions to their conveyor material handling applications.		",ASGCO- Complete Conveyor Solutions
www.asdi.com,United States,NIR.info@panalytical.com,"
			ASD Inc. is a leading manufacturer of spectrometers for mineral analysis. ASD analyzers are used by exploration geologists for quick determination of alteration mineralogy and at active mine sites for expansive clay and problem mineral monitoring.		","ASD Inc., a PANalytical Company"
www.asirobots.com,United States,None,"
			Since 2000, ASI has been a world leader in unmanned ground vehicle systems. We have worked with many of the worlds largest mining companies, and provide robotic solutions ranging from driver assistance to a full, multi-vehicle autonomy solution.		",Autonomous Solutions
www.symposium.net.au,Australia,None,"
			When you need a break, join us on the ""BEACH"" A place to put your feet up &regroup before heading out into the show again. No swimming allowed.		",Australian Pavilion
www.safeboarder.com,Australia,sales@safeboarder.com,"
			AEE is a global designer & manufacturer of premium,innovative safety products with our SafeBoarder access systems,SafeMover retrieval trailer and other workshop safety products.When it comes to your personnel’s safety, we are your solution provider		",Australian Equipment Engineering
www.australce.com,Australia,None,None,Australian Ceramics Engineering Pty Ltd.
www.auctiontime.com,United States,feedback@auctiontime.com,"
			Powered by MachineryTrader.com, TractorHouse.com, and TruckPaper.com, AuctionTime.com brings together buyers and sellers to move equipment at auction values. Sellers list equipment on AuctionTime.com for a low flat fee. Bidders pay no buyers fees.		",AuctionTime.com
www.atselectrolube.com,Canada,None,None,"ATS Electro-Lube Intl., Inc."
www.atlas-pump.com,Peoples Republic of China,None,None,Atlas Equipment Manufacturing Ltd.
www.atlascopco.com,United States,None,"
			Atlas Copco is a world-leading provider of sustainable productivity solutions serving customers with innovative mining and construction equipment, compressors, vacuum solutions and air treatment systems, power tools and assembly systems.		",Atlas Copco
www.atlanticbraids.com,Canada,info@atlanticbraids.com,"
			Atlantic Braids Ltd. is a leading Canadian manufacturer of braided rope and synthetic cables. We specialize in fibers including Dyneema, Technora, Vectran, polyester, nylon and many others. We offer customized service with short lead times.		",Atlantic Braids Ltd.
www.jienasi.net/,Peoples Republic of China,overseas.zhuoli@gmail.com,"
			Baoding Zhuoli Machinery Co. Ltd. is the leading manufacturer in conveyor components sector in China, specializing in conveyor rollers/idlers, conveyor pulley, bracket and other components.		",Baoding Zhuoli Machinery Co Ltd.
www.shundaxj.com,Peoples Republic of China,camille@shundaxj.com,"
			Baoding Shunda Rubber Belts Co., Ltd., founded in 1996, a big specialized manufacturer of conveyor components in China. Registered capital is $17 million USD. Our main series now include conveyor belts, roller, idler, pulley and conveyor frames.		","Baoding Shunda Rubber Belts Co., Ltd."
www.banlaw.com,United States,americasales@banlaw.com,"
			As global leaders in fuel management Banlaw delivers unparalleled safety, efficiency and cost reductions. Banlaw’s Unified Fuel Management approach includes hardware and software, asset management and training – from ‘buy to burn'.		",Banlaw America
www.baldwinfilter.com,United States,None,"
			Baldwin Filters offers heavy-duty lube, air, fuel, coolant, hydraulic and transmission filters for over-the-road vehicles and off-road equipment, as well as industrial, agricultural, automotive and marine applications.		",Baldwin Filters
www.baileyparks.com,United States,btutor@baileyparks.com,"
			Bailey-Parks Urethane, Inc., is a manufacturer of quality polyurethane products since 1969. Our product line includes sheeting, custom pad, roller/ wheel recover and custom molded products in both polyether and polyester materials.		",Bailey-Parks Urethane Inc.
www.baddogtools.com,United States,topdog@baddogtools.com,"
			For 28 years we've been making specialty & multi-purpose tools for cutting and drilling so good we guarantee 'em for life! See tools in action at MINExpo® including Multi-Purpose Bits for concrete, metal, wood, PVC, fiberglass, more!		",Bad Dog Tools
www.axletech.com,United States,info@axletech.com,"
			AxleTech International is a leading designer and manufacturer of heavy-duty off-highway drivetrain systems and components as well as aftermarket parts, serving commercial and defense vehicle applications worldwide.		",AxleTech International
www.getaxisparts.com,United States,info@getaxisparts.com,"
			Axis Parts is a worldwide distributor and retailer of new aftermarket pins, bearing sleeves, rig-mounted hydraulic hammer bits, and all other replacement spare parts for the global construction and mining industry		","Axis Parts, LLC"
www.avic-zy.com,Peoples Republic of China,forgings@avic-zy.com,"
			Avic Excellence Forging is a member of Avic Heavy Machinery, which is one of the public companies of Aviation Industry Corporation of China (AVIC). Main products: flanges, plates, ring gears, bearing rings and other mechanical forged parts.		","Avic Excellence Forging (Wuxi) Co., Ltd."
www.bearingseat.com,Peoples Republic of China,1105714497@qq.com,"
			The manufacturer of roller bearing housing, mechanical seals and rollers, for more than eight years. Our product with types: TK, TKII, TKIII, DTII for bearing 204, 205, 305, 306, 307, 308, 309, 310, 312. Passed ISO9001 system.		","Anhui Tianli Heavy Industry Co., Ltd."
www.sinowrubber.com,Peoples Republic of China,blingsinowrubber@163.com,None,"Anhui Sinow Rubber Products Co., Ltd."
www.sandytools.com,Peoples Republic of China,None,"
			SDT rock tools covers DTH hammer and bit, top hammer, rod, etc. We continue to progress in the field of materials, processing areas, to offer you and other customers all over the world the most competitive products.		","Anhui Sandy Rocktools Co., Ltd."
www.ahfangyuan.com,Peoples Republic of China,ahfy@ahfangyuan.com,"
			Fangyuan has experienced more than 20 years development in the mining industry. The products include high frequency vibrating screen, polyurethane fine screen, cyclone, CPU (MDI,TDI) moulding screen, TPU wire screen. Aperture sizes are from 0.075 to 200 mm.		","Anhui Fangyuan Plastic & Rubber Co., Ltd."
www.anfacorp.cn,Peoples Republic of China,anfacorp@yahoo.com,"
			ANFA Wear Resistant Casting Inc. is founded in YunNan province invested by YongKang ANFA Co., Ltd. and YunNan JinYa Casting Co., Ltd. Supplying manganese steel casting, specializing crusher spare parts.		",ANFA Wear Resistant Casting
www.andyegan.com,United States,None,"
			Construction technology company 3D Imaging Services will join mechanical contractor and fabricator Andy J. Egan to demonstrate how 3-D laser scanning is incorporated into the fabrication of pipe spools, skid packages and more.		","Andy J. Egan Co., Inc."
www.andritz.com/pumps,Germany,ritz@andritz.com,"
			ANDRITZ is a leading manufacturer of pumps and motors for water management and emergency drainage in surface and underground mining. Our products for mining application include single flow and double suction submersible motor pumps and high pressure pumps.		",ANDRITZ Ritz GmbH
www.andritz.com,United States,separation.us@andritz.com,"
			ANDRITZ technology solutions offer new ways to automate your existing equipment (automation) and a range of solid-liquid separation and drying equipment (separation). Our solutions help increase the performance and profitability of your operations.		",ANDRITZ
www.andersonmetals.com,United States,info@andersonmetals.com,"
			We are a family-owned and operated manufacturer of brass fittings, valves and pipe nipples based in Kansas City, MO, since 1947. We offer same-day shipping at a 99.35 percent fill-rate on more than 12,000 products made from brass forgings, rod and castings.		",Anderson Metals Corp. Inc.
www.amstedmaxion.com.br,United States,kskibinski@amstedrail.com,"
			AmstedMaxion is the premier source for steel casting for heavy-duty industrial applications and hot wound springs used in the most demanding working conditions- construction, mining, rail, automotive, power generation, agriculture, oil & gas.		",Amsted Maxion
www.amr-sales.com,United States,sales@amr-sales.com,"
			AMR provides 802.11 wireless communications, personnel tracking, atmospheric gas monitoring, collision avoidance solutions, ground check/ground fault monitors, electronic circuit breakers, smoke sensors, speed/tip sensors, and SCADA integration.		","AMR, Inc."
www.fibersystems.com,United States,None,None,Amphenol Fiber Systems International
www.amiadusa.com,United States,None,None,Amiad Water Systems
www.american-marsh.com,United States,None,None,American-Marsh Pumps
www.vulkanusa.com,United States,None,None,American Vulkan Corp.
www.atwtools.com,United States,qunzhang@atwtools.com,"
			ATW is a professional hydraulic tool sales/service company located in Houston, TX. We have a 5000 sq. ft. warehouse and office space. Our main products: hydraulic torque wrenches, hydraulic pumps, electric torque wrenches and other hydraulic tools.		",American Torque Wrench Inc.
www.amroll.com,United States,None,None,American Roller Bearing Co.
www.americanmining.com,United States,None,"
			For more than 25 years, American Mining Insurance Group (AMIG) has provided Workers Compensation (WC), Business Auto (BA), General Liability (GL) and Umbrella (UM) coverage to U.S. mining and mining related high severity industries.		",American Mining Insurance Co.
www.accenture.com,United States,None,"
			Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations.		",Accenture
www.accellatirefill.com,United States,contact@accellatirefill.com,"
			Accella Tire Fill Systems is the industry’s go-to-source for polyurethane tire fill. The company’s branded TyrFil® line offers the most cost-effective tire flatproofing solution for improved safety and productivity.		",Accella Tire Fill Systems
www.abzvalve.com,United States,charles.steffes@f-e-t.com,"
			One of the most diverse butterfly valve manufactures in the marketplace today. Broad offering of resilient rubber seated, double offset and triple offset high performance, along with complete automation packages, all under one roof.		","ABZ Valves & Controls, Forum Energy Company"
www.abtrex.com,United States,None,"
			Abtrex is an ISO9001:2008 certified company specializing in abrasion and corrosion resistant linings and coatings, especially rubber linings. We fabricate tanks, piping systems and other industrial equipment at our three facilities in Michigan, Indiana and Pennsylvania.		","Abtrex Industries, Inc."
www.durapac.com.au,Australia,None,"
			Durapac is a leading force in high pressure hydraulic tools and jacking equipment.		",Absolute Equipment
www.abllights.com,United States,None,None,ABL Lights Inc.
www.abel.de,Germany,mail@abel.de,"
			ABEL Pumps offers more than 60 years experience in positive displacement pump technologies for pumping sludge, slurries and solids.		",ABEL GmbH
www.abcventilation.com,Canada,None,"
			ABC Ventilation Systems manufactures complete ventilation systems for mines and tunnels. ABC Ventilation Systems offers a wide range of fabrics for flexible layflat and spiral ducting. Vane axial fans, rigid ducting and dedusters are also offered.		",ABC Ventilation Systems
www.abc-industries.net,United States,sales@abc-industries.net,"
			ABC Industries is one of North America’s leaders in mine ventilation products, including MineVent® and TruOval MineVent® layflat blower tubing, MineDuct® wire-reinforced ducting, RigiDuct® fiberglass ducting, brattice, fly pads, and fans.		",ABC Industries Inc.
www.akronbrass.com,United States,aeagle@akronbrass.com,"
			Akron Brass Company is a leading global manufacturer of high performance firefighting products engineered and tested for superior fire suppression and emergency response needs.		",Akron Brass Company
www.npoakonit.ru/en,Russia,None,"
			Manufacturing of conveyor systems and conveyors (including underground), elevators, spare parts and components. Services: design, assembling, starting-up and adjustment, commissioning and aftersales service.		",Akonit
www.akg-group.com,United States,info@akg-america.com,"
			AKG is a global manufacturer of aluminum and copper heat exchangers for engine and hydraulics cooling used in challenging applications. With our new MCS series, we now offer a field repairable aluminum cooler for engines up to 5000 hp.		",AKG of America Inc.
www.airplaco.com,United States,None,None,Airplaco Equipment Co. Inc.
www.airflowsciences.com,United States,asc@airflowsciences.com,"
			Experts at physical/CFD flow modeling, field testing, fabrication of custom test equipment. In-house CFD software available for license. Cost-effective solutions to flow, heat transfer, combustion, chemistry, particulate and emission problems since 1975.		",Airflow Sciences Corporation
www.aireng.com.au,Australia,None,None,Aireng Pty Ltd
www.airbusds-ogm.com,France,chloe.leclerc@astrium.eads.net,"
			The Intelligence programme line of Airbus Defence and Space is a recognised world leader in geo-information, with unmatched access to satellite imagery and unparalleled expertise. Supporting all stages of the oil, gas and mining project lifecycle.		",Airbus Defence & Space
www.airradiators.com,Australia,jmanev@airrads.com.au,"
			Air Radiators specializes in developing and servicing radiators and cooling systems for diesel engines. We have the technical expertise and diverse product range to service global OEMs for radiators and cooling systems used in mining equipment.		",Air Radiators
airproducts.com/plantservices,United States,cpsinfo@airproducts.com,"
			Air Products provides industrial gases such as oxygen, nitrogen, hydrogen and argon to reduce operating costs and increase production in the mining industry. We also offer equipment and services to support efficient operations in non-ferrous firms.		",Air Products
www.allmineral.com,United States,info@allmineralllc.com,None,Allmineral LLC
www.allmand.com,United States,None,None,Allmand Bros Inc.
www.vikingwear.com,United States,None,None,"Alliance Mercantile, Inc."
www.alleghenyinstruments.com,United States,sales@alleghenyinstruments.com,"
			Allegheny Instruments, Inc. manufactures the GeoVISION line of borehole video camera systems. Our portable borehole cameras are used by geologists, engineers and well drillers to inspect wells as deep as 600 meters.		","Allegheny Instruments, Inc."
www.alimakhek.com,Sweden,info@alimakhek.com,"
			Alimak Hek is a market leader and pioneer in rack-and-pinion elevators. The elevators are perfect for underground as well as above-ground mining applications, such as pelletizing plants, smelters, concentrators, and other ore processing plants.		",Alimak Hek AB
www.alfalaval.com/mining,United States,None,"
			Alfa Laval is a leading global provider of specialized products and engineered solutions. Our equipment, systems and services are dedicated to helping customers to optimize the performance of their processes. Time and time again.		",Alfa Laval
None,Australia,tfairbanks@alastri.com.au,None,Alastri
www.AlaskaStructures.com,United States,inquiry@alaskastructures.com,"
			Alaska Structures® manufactures the most engineered fabric buildings for mineral exploration, mining camps and on-site facilities worldwide. Each Alaska Structure is customized to meet project requirements and designed for loads to ensure safety.		","Alaska Structures, Inc."
www.alanauld.com,Canada,None,"
			The Alan Auld Group, with offices in the U.K., Canada and the U.S., specializes in the design and construction of mine access, particularly in difficult ground conditions. Visit us to learn about our new shaft video inspection system.		",Alan Auld Canada Ltd.
www.acti-gel.com,United States,None,None,"Active Minerals International, LLC"
www.acuitybrands.com,United States,None,None,Acuity Brands
www.actionmining.com,United States,sales@actionmining.com,"
			Offering the Micron Mill Wave Table, proven to be one of the best units for both testing and production for fine gold and other metals recovery in the mining/recycling industries, separating by specific gravity down to 5 microns without chemicals.		",Action Mining Services Inc.
www.acmespecialty.com,United States,None,None,Acme Specialty Mfg. Co.
www.ackerdrill.com,United States,None,None,"Acker Drill Company, Inc."
www.ackerdrill.com,United States,None,None,Acker Drill Co.
www.acerosysuministros.com,Spain,etena@acerosysuministros.com,"
			Aceros y Suministros S.L. has been manufacturing premium wear parts for the aggregate, mining and cement industries since 1951. This exhibition introduces the best and most versatile range of steel alloys for impact crusher blow bars.		",Aceros y Suministros S.L.
www.acedrills.com,Peoples Republic of China,info@acedrills.com,"
			Acedrills Rock Tools Co., Ltd. is not only one of the oldest rock tools suppliers in China, it has also grown to be the biggest rock tools supplier in China. It is a highly specialized group corporation in accessories and consumables.		","Acedrills Rock Tools Co., Ltd."
www.accutroninstruments.com,Canada,None,None,Accutron Instruments
www.american-manufacturing.com,United States,None,None,American Manufacturing Co.
www.heart.org/workforcetraining,United States,None,"
			AHA’s classroom or blended learning first aid/CPR AED/bloodborne pathogens courses are designed for anyone with little/no medical training needing a course completion card for job/regulatory/other requirement with courses meeting OSHA requirements.		",American Heart Association
www.miningamerica.org,United States,info@miningamerica.org,"
			AEMA is a 121 year-old non-profit, non-partisan, national trade association based in Spokane, WA. Our purpose is to advocate for, and advance, the mineral resource and related industries.		",American Exploration & Mining Association
www.americaneaglemanufacturing.com,United States,None,"
			American Eagle is a manufacturer of bulk conveyor components including primary and secondary belt cleaning systems, replacement blades for all major competitors, impact beds, modular chutes, and more.		",American Eagle Mfg.
www.americancableco.com,United States,henk@americancableco.com,"
			American Cable Company, manufactures battery cables, wiring harnesses, panel assemblies, control boxes and related components for some of the most respected OEM corporations around the world. We are an UL/CSA approved supplier. 6 Sigma deployed.		",American Cable Company
www.americanaugers.com,United States,info@americanaugers.com,"
			Since 1945, Trencor’s trenchers and surface miners have maintained their rock-solid reputation by being the longest lasting underground equipment line in the world. Trencor machines are handcrafted in the U.S.A. by American Augers.		",American Augers
www.americanblock.com,United States,None,None,American Block
www.aasteel.com,United States,info@aasteel.com,"
			For solutions to abrasive environments we offer AR 400/450/500 to help extend the life cycles of equipment and other ground engaging applications. For weldability/formability concerns, we can provide our Ameriwear 400 and Amerituf 500.		",American Alloy Steel
www.amerex-fire.com,United States,None,None,Amerex Corp.
www.agudio.com,Italy,info@agudio.com,"
			AGUDIO is the brand used for material transportation systems designed by Leitner Poma group. AGUDIO is the competence centre specialized in engineering and construction of material transportation systems on ropes: ropeways, flyingbelt and cablecranes.		",Agudio Ropeways
www.aggregatesandminingtoday.com,United States,None,None,Aggregates and Mining Today
www.agapito.com,United States,None,"
			Agapito Associates, Inc., (AAI) has served as a consultant to the mining industry for 38 years in the disciplines of mining engineering, civil engineering, geological engineering and geology.		",Agapito Associates Inc.
www.camese.org,Canada,shaune.mckinon@afxmixing.com,"
			AFX Mixing & Pumping Technologies Inc - North America design and manufacture high tech agitation/mixing systems and peristaltic hose pumps to all types of industry. Global operations include facilities in Canada, South Africa and the U.K.		",AFX Mixing and Pumping Technologies Inc.
www.aftonchemical.com,United States,None,None,Afton Chemical Corporation
www.AFLglobal.com,United States,sales@aflglobal.com,"
			AFL provides innovative technology and performance to a variety of customers in the mining market. Our product offering includes fiber optic cable, connectors, closures, fusion splicers and test equipment.		",AFL
afexsystems.com,United States,info@afexsystems.com,"
			Maximize the safety and productivity of all your mining equipment with rugged, reliable AFEX fire suppression systems. No. 1 in the Americas, AFEX is the leader in vehicle fire suppression systems since 1968. Approved by FM, ActivFire, CE and more.		",AFEX Fire Suppression Systems
www.aetnawire.com,United States,None,None,Aetna – Marmon Energy
www.aesseal.com,United States,None,"
			AESSEAL designs, manufactures and services mechanical seals used to seal mining slurry pumps and other difficult mining applications.		",AESSEAL Inc.
www.amecfw.com,Canada,None,"
			AMEC Foster Wheeler is an industry leader in global mining solutions. For more than 60 years, we have been trusted to deliver some of the most logistically and technically challenging mining projects in the world.		",AMEC Foster Wheeler
www.ameintl.net,United States,sales@ameintl.net,"
			AME International offers a complete range of tire-changing tools and equipment to serve all aspects of wheel and tire service. For more information, visit www.ameintl.net.		",AME International
www.amcastonline.com,United States,elsa@amcastonline.com,"
			Am Cast, Inc. is an industry leader in performance wear parts and specialty crushing equipment; Wear Resistant Insert (WRI®) and Master Ceramic® blow bars, Grip Plus (GPF®) and Super Bite (SB®) Manganese, and the Rocky Transformer® Sand Crusher.		","Am Cast, Inc."
